"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 23, 2018","303.20","301.84","305.50","292.86","10.99M","-3.31%"
"Jul 20, 2018","313.58","321.23","323.24","311.71","5.17M","-2.08%"
"Jul 19, 2018","320.23","316.33","323.54","314.01","5.92M","-1.12%"
"Jul 18, 2018","323.85","325.00","325.50","316.25","5.62M","0.36%"
"Jul 17, 2018","322.69","308.81","324.74","308.50","7.00M","4.06%"
"Jul 16, 2018","310.10","311.71","315.16","306.25","7.82M","-2.75%"
"Jul 13, 2018","318.87","315.58","319.58","309.25","5.88M","0.68%"
"Jul 12, 2018","316.71","321.43","323.23","312.77","5.72M","-0.71%"
"Jul 11, 2018","318.96","315.80","321.94","315.07","4.88M","-1.09%"
"Jul 10, 2018","322.47","324.56","327.68","319.20","9.47M","1.24%"
"Jul 09, 2018","318.51","311.99","318.52","308.00","7.60M","3.11%"
"Jul 06, 2018","308.90","304.95","312.07","302.00","8.87M","-0.08%"
"Jul 05, 2018","309.16","313.76","314.39","296.22","17.48M","-0.55%"
"Jul 03, 2018","310.86","331.75","332.49","309.69","12.28M","-7.23%"
"Jul 02, 2018","335.07","360.07","364.78","329.85","18.76M","-2.30%"
"Jun 29, 2018","342.95","353.33","353.86","342.41","6.49M","-1.99%"
"Jun 28, 2018","349.93","348.66","357.02","346.11","8.40M","1.58%"
"Jun 27, 2018","344.50","345.00","350.79","339.50","8.33M","0.73%"
"Jun 26, 2018","342.00","336.05","343.55","325.80","7.45M","2.70%"
"Jun 25, 2018","333.01","330.12","338.47","327.50","6.93M","-0.19%"
"Jun 22, 2018","333.63","351.54","352.25","332.00","10.27M","-3.99%"
"Jun 21, 2018","347.51","362.00","366.21","346.27","7.97M","-4.06%"
"Jun 20, 2018","362.22","358.04","364.38","352.00","8.38M","2.74%"
"Jun 19, 2018","352.55","365.16","370.00","346.25","12.76M","-4.93%"
"Jun 18, 2018","370.83","355.40","373.73","354.50","12.07M","3.53%"
"Jun 15, 2018","358.17","353.84","364.67","351.25","10.85M","0.13%"
"Jun 14, 2018","357.72","347.63","358.75","346.60","10.98M","3.75%"
"Jun 13, 2018","344.78","346.71","347.20","339.80","9.47M","0.59%"
"Jun 12, 2018","342.77","344.70","354.97","338.00","22.35M","3.21%"
"Jun 11, 2018","332.10","322.51","334.66","322.50","13.18M","4.55%"
"Jun 08, 2018","317.66","319.00","324.48","317.15","8.21M","0.50%"
"Jun 07, 2018","316.09","316.15","330.00","313.58","14.35M","-1.07%"
"Jun 06, 2018","319.50","300.50","322.17","297.48","18.77M","9.74%"
"Jun 05, 2018","291.13","297.70","297.80","286.74","6.00M","-1.89%"
"Jun 04, 2018","296.74","294.34","299.00","293.55","4.80M","1.69%"
"Jun 01, 2018","291.82","285.86","291.95","283.84","5.42M","2.49%"
"May 31, 2018","284.73","287.21","290.37","282.93","5.92M","-2.40%"
"May 30, 2018","291.72","283.29","295.00","281.60","7.49M","2.81%"
"May 29, 2018","283.76","278.51","286.50","276.15","5.67M","1.76%"
"May 25, 2018","278.85","277.63","279.64","275.61","3.88M","0.36%"
"May 24, 2018","277.85","278.40","281.11","274.89","4.18M","-0.44%"
"May 23, 2018","279.07","277.76","279.91","274.00","5.99M","1.48%"
"May 22, 2018","275.01","287.76","288.00","273.42","8.95M","-3.33%"
"May 21, 2018","284.49","281.33","291.49","281.30","9.18M","2.77%"
"May 18, 2018","276.82","284.65","284.65","274.00","7.25M","-2.71%"
"May 17, 2018","284.54","285.90","289.19","283.97","4.42M","-0.68%"
"May 16, 2018","286.48","283.83","288.81","281.56","5.67M","0.81%"
"May 15, 2018","284.18","285.01","286.96","280.50","9.52M","-2.67%"
"May 14, 2018","291.97","303.32","304.94","291.62","7.29M","-3.02%"
"May 11, 2018","301.06","307.70","308.88","299.08","4.68M","-1.30%"
"May 10, 2018","305.02","307.50","312.99","304.11","5.65M","-0.60%"
"May 09, 2018","306.85","300.41","307.01","300.05","5.73M","1.62%"
"May 08, 2018","301.97","300.80","307.75","299.00","5.93M","-0.26%"
"May 07, 2018","302.77","297.50","305.96","295.17","8.68M","2.95%"
"May 04, 2018","294.09","283.00","296.86","279.52","8.57M","3.39%"
"May 03, 2018","284.45","278.79","288.04","275.23","17.35M","-5.55%"
"May 02, 2018","301.15","298.57","306.85","297.78","8.97M","0.41%"
"May 01, 2018","299.92","293.51","300.82","293.22","4.63M","2.05%"
"Apr 30, 2018","293.90","293.61","298.73","292.50","4.23M","-0.06%"
"Apr 27, 2018","294.07","285.37","294.47","283.83","4.36M","3.01%"
"Apr 26, 2018","285.48","278.75","285.79","276.50","4.36M","1.71%"
"Apr 25, 2018","280.69","283.50","285.16","277.25","4.01M","-0.98%"
"Apr 24, 2018","283.46","285.00","287.09","278.46","5.69M","0.03%"
"Apr 23, 2018","283.37","291.29","291.62","282.33","4.89M","-2.37%"
"Apr 20, 2018","290.24","295.17","299.98","289.75","5.63M","-3.28%"
"Apr 19, 2018","300.08","291.08","301.01","288.55","6.09M","2.29%"
"Apr 18, 2018","293.35","291.08","300.24","288.16","6.56M","1.97%"
"Apr 17, 2018","287.69","288.87","292.17","282.51","7.00M","-1.21%"
"Apr 16, 2018","291.21","299.00","299.66","289.01","6.34M","-3.04%"
"Apr 13, 2018","300.34","303.60","303.95","295.98","7.33M","2.13%"
"Apr 12, 2018","294.08","302.32","303.95","293.68","7.61M","-2.28%"
"Apr 11, 2018","300.93","300.74","308.98","299.66","7.48M","-1.24%"
"Apr 10, 2018","304.70","298.97","307.10","293.68","11.02M","5.19%"
"Apr 09, 2018","289.66","300.37","309.50","289.21","10.25M","-3.22%"
"Apr 06, 2018","299.30","301.00","309.28","295.50","13.52M","-2.10%"
"Apr 05, 2018","305.72","289.34","306.26","288.20","19.12M","6.54%"
"Apr 04, 2018","286.94","252.78","288.37","252.00","19.90M","7.26%"
"Apr 03, 2018","267.53","269.82","273.35","254.49","18.84M","5.96%"
"Apr 02, 2018","252.48","256.26","260.33","244.59","16.11M","-5.13%"
"Mar 29, 2018","266.13","256.49","270.96","248.21","15.17M","3.24%"
"Mar 28, 2018","257.78","264.58","268.68","252.10","21.00M","-7.67%"
"Mar 27, 2018","279.18","304.00","304.27","277.18","13.87M","-8.22%"
"Mar 26, 2018","304.18","307.34","307.59","291.36","8.38M","0.88%"
"Mar 23, 2018","301.54","311.25","311.61","300.45","6.65M","-2.45%"
"Mar 22, 2018","309.10","313.89","318.82","308.18","4.94M","-2.35%"
"Mar 21, 2018","316.53","310.25","322.44","310.19","5.96M","1.93%"
"Mar 20, 2018","310.55","314.87","316.25","308.76","4.76M","-0.96%"
"Mar 19, 2018","313.56","316.50","320.75","309.67","7.48M","-2.42%"
"Mar 16, 2018","321.35","325.96","327.40","319.07","6.12M","-1.31%"
"Mar 15, 2018","325.60","329.38","332.85","321.10","6.56M","-0.32%"
"Mar 14, 2018","326.63","336.76","339.81","323.93","7.97M","-4.45%"
"Mar 13, 2018","341.84","344.92","345.12","336.26","5.97M","-1.06%"
"Mar 12, 2018","345.51","328.61","347.21","326.50","8.26M","5.61%"
"Mar 09, 2018","327.17","324.10","328.49","322.37","5.51M","-0.59%"
"Mar 08, 2018","329.10","332.86","333.30","326.27","3.57M","-0.96%"
"Mar 07, 2018","332.30","325.44","332.50","321.74","5.01M","1.25%"
"Mar 06, 2018","328.20","333.75","336.37","327.03","4.29M","-1.54%"
"Mar 05, 2018","333.35","332.39","337.75","329.29","3.82M","-0.53%"
"Mar 02, 2018","335.12","326.98","335.22","322.97","5.09M","1.27%"
"Mar 01, 2018","330.93","345.01","348.67","330.07","6.89M","-3.54%"
"Feb 28, 2018","343.06","352.57","355.24","342.22","6.07M","-2.26%"
"Feb 27, 2018","350.99","356.25","359.99","350.01","4.80M","-1.80%"
"Feb 26, 2018","357.42","353.50","359.00","352.36","4.34M","1.53%"
"Feb 23, 2018","352.05","347.83","354.99","347.10","5.82M","1.70%"
"Feb 22, 2018","346.17","335.53","347.44","334.75","6.97M","3.86%"
"Feb 21, 2018","333.30","336.03","339.69","333.17","3.22M","-0.44%"
"Feb 20, 2018","334.77","334.47","340.84","331.50","4.01M","-0.21%"
"Feb 16, 2018","335.49","332.50","343.12","331.64","5.64M","0.43%"
"Feb 15, 2018","334.06","324.50","334.12","322.40","5.91M","3.65%"
"Feb 14, 2018","322.31","320.84","326.17","318.52","3.95M","-0.42%"
"Feb 13, 2018","323.66","315.02","324.19","312.51","4.56M","2.51%"
"Feb 12, 2018","315.73","316.13","318.08","306.25","6.23M","1.71%"
"Feb 09, 2018","310.42","319.93","320.98","294.76","12.93M","-1.53%"
"Feb 08, 2018","315.23","343.31","348.62","314.60","10.31M","-8.63%"
"Feb 07, 2018","345.00","338.99","346.00","335.66","6.97M","3.30%"
"Feb 06, 2018","333.97","325.21","336.22","323.50","5.09M","0.25%"
"Feb 05, 2018","333.13","337.97","344.47","333.00","4.46M","-3.09%"
"Feb 02, 2018","343.75","348.44","351.95","340.51","3.70M","-1.57%"
"Feb 01, 2018","349.25","351.00","359.66","348.63","4.20M","-1.43%"
"Jan 31, 2018","354.31","347.51","356.19","345.19","6.21M","2.46%"
"Jan 30, 2018","345.82","345.14","348.27","342.17","4.72M","-1.06%"
"Jan 29, 2018","349.53","339.85","350.85","338.28","4.75M","1.95%"
"Jan 26, 2018","342.85","341.50","344.00","335.71","4.54M","1.54%"
"Jan 25, 2018","337.64","348.27","349.20","336.40","6.74M","-2.39%"
"Jan 24, 2018","345.89","354.58","354.75","343.52","5.29M","-1.96%"
"Jan 23, 2018","352.79","360.00","360.50","351.00","5.47M","0.35%"
"Jan 22, 2018","351.56","349.40","357.83","349.20","6.21M","0.44%"
"Jan 19, 2018","350.02","345.00","350.59","342.60","4.89M","1.58%"
"Jan 18, 2018","344.57","345.67","352.30","343.74","5.69M","-0.75%"
"Jan 17, 2018","347.16","340.47","349.00","339.75","7.10M","2.09%"
"Jan 16, 2018","340.06","337.54","345.00","334.80","6.47M","1.14%"
"Jan 12, 2018","336.22","338.63","340.41","333.67","4.83M","-0.51%"
"Jan 11, 2018","337.95","335.24","344.81","333.26","6.65M","0.94%"
"Jan 10, 2018","334.80","332.20","337.00","330.00","4.31M","0.33%"
"Jan 09, 2018","333.69","335.16","338.80","327.40","7.15M","-0.81%"
"Jan 08, 2018","336.41","316.00","337.02","315.50","9.86M","6.26%"
"Jan 05, 2018","316.58","316.62","317.24","312.00","4.59M","0.62%"
"Jan 04, 2018","314.62","312.87","318.55","305.68","9.95M","-0.83%"
"Jan 03, 2018","317.25","321.00","325.25","315.55","4.52M","-1.02%"
"Jan 02, 2018","320.53","312.00","322.11","311.00","4.35M","2.95%"
"Dec 29, 2017","311.35","316.18","316.41","310.00","3.78M","-1.27%"
"Dec 28, 2017","315.36","311.75","315.82","309.54","4.32M","1.19%"
"Dec 27, 2017","311.64","316.00","317.68","310.75","4.71M","-1.78%"
"Dec 26, 2017","317.29","323.83","323.94","316.58","4.38M","-2.43%"
"Dec 22, 2017","325.20","329.51","330.92","324.82","4.22M","-1.95%"
"Dec 21, 2017","331.66","329.59","333.74","327.21","4.39M","0.81%"
"Dec 20, 2017","328.98","332.69","333.10","325.04","5.95M","-0.64%"
"Dec 19, 2017","331.10","340.26","341.49","330.30","6.82M","-2.29%"
"Dec 18, 2017","338.87","344.90","346.73","337.58","5.48M","-1.33%"
"Dec 15, 2017","343.45","342.04","343.90","335.76","6.93M","1.65%"
"Dec 14, 2017","337.89","341.01","347.44","336.90","5.80M","-0.34%"
"Dec 13, 2017","339.03","340.93","344.22","336.50","6.22M","-0.59%"
"Dec 12, 2017","341.03","330.45","341.44","330.03","8.73M","3.68%"
"Dec 11, 2017","328.91","314.63","329.01","313.75","7.94M","4.37%"
"Dec 08, 2017","315.13","314.60","316.98","311.26","3.47M","1.25%"
"Dec 07, 2017","311.24","312.00","318.63","311.05","4.78M","-0.64%"
"Dec 06, 2017","313.26","300.10","313.39","300.00","7.20M","3.15%"
"Dec 05, 2017","303.70","302.00","308.00","301.00","4.65M","-0.49%"
"Dec 04, 2017","305.20","306.50","308.26","300.61","5.84M","-0.43%"
"Dec 01, 2017","306.53","305.44","310.32","305.05","4.29M","-0.75%"
"Nov 30, 2017","308.85","308.56","310.70","304.54","4.35M","0.43%"
"Nov 29, 2017","307.54","317.30","318.00","301.23","8.77M","-3.15%"
"Nov 28, 2017","317.55","316.36","320.00","313.92","4.95M","0.23%"
"Nov 27, 2017","316.81","313.25","317.34","309.51","4.56M","0.40%"
"Nov 24, 2017","315.55","313.79","316.41","311.00","3.24M","0.94%"
"Nov 22, 2017","312.60","316.77","317.42","311.84","4.92M","-1.64%"
"Nov 21, 2017","317.81","310.86","318.23","308.71","7.26M","2.94%"
"Nov 20, 2017","308.74","313.79","315.50","304.75","8.25M","-2.00%"
"Nov 17, 2017","315.05","325.67","326.67","313.15","13.74M","0.82%"
"Nov 16, 2017","312.50","313.99","318.14","311.30","5.82M","0.39%"
"Nov 15, 2017","311.30","306.01","312.49","301.50","5.98M","0.84%"
"Nov 14, 2017","308.70","315.00","316.35","306.90","5.68M","-2.12%"
"Nov 13, 2017","315.40","300.13","316.80","299.11","7.58M","4.10%"
"Nov 10, 2017","302.99","302.50","308.36","301.85","4.63M","0.00%"
"Nov 09, 2017","302.99","302.50","304.46","296.30","5.45M","-0.46%"
"Nov 08, 2017","304.39","305.50","306.89","301.30","4.73M","-0.54%"
"Nov 07, 2017","306.05","301.02","306.50","300.03","5.29M","1.08%"
"Nov 06, 2017","302.78","307.00","307.50","299.01","6.49M","-1.08%"
"Nov 03, 2017","306.09","299.50","306.25","295.13","8.89M","2.28%"
"Nov 02, 2017","299.26","300.13","308.69","292.63","19.79M","-6.80%"
"Nov 01, 2017","321.08","332.25","332.61","320.26","8.46M","-3.15%"
"Oct 31, 2017","331.53","320.23","331.95","320.18","5.67M","3.58%"
"Oct 30, 2017","320.08","319.18","323.78","317.25","4.25M","-0.25%"
"Oct 27, 2017","320.87","319.75","324.59","316.66","6.98M","-1.62%"
"Oct 26, 2017","326.17","327.78","330.23","323.20","5.02M","0.10%"
"Oct 25, 2017","325.84","336.70","337.50","323.56","8.59M","-3.41%"
"Oct 24, 2017","337.34","338.80","342.80","336.16","4.49M","0.09%"
"Oct 23, 2017","337.02","349.88","349.95","336.25","5.75M","-2.34%"
"Oct 20, 2017","345.10","352.69","354.55","344.34","4.93M","-1.91%"
"Oct 19, 2017","351.81","355.56","357.15","348.20","5.06M","-2.18%"
"Oct 18, 2017","359.65","355.97","363.00","354.13","4.94M","1.10%"
"Oct 17, 2017","355.75","350.91","356.22","350.07","3.29M","1.47%"
"Oct 16, 2017","350.60","353.76","354.48","347.16","5.38M","-1.40%"
"Oct 13, 2017","355.57","356.98","358.49","353.68","3.54M","-0.03%"
"Oct 12, 2017","355.68","352.95","359.78","352.64","4.09M","0.30%"
"Oct 11, 2017","354.60","353.89","357.60","351.15","4.50M","-0.28%"
"Oct 10, 2017","355.59","346.80","355.63","345.53","6.98M","3.69%"
"Oct 09, 2017","342.94","349.65","351.75","342.67","7.49M","-3.91%"
"Oct 06, 2017","356.88","353.10","360.10","352.25","4.30M","0.44%"
"Oct 05, 2017","355.33","356.00","357.44","351.35","4.17M","0.09%"
"Oct 04, 2017","355.01","351.25","358.62","349.60","8.16M","1.97%"
"Oct 03, 2017","348.14","335.90","348.55","331.28","10.15M","1.94%"
"Oct 02, 2017","341.53","342.52","343.70","335.51","5.29M","0.13%"
"Sep 29, 2017","341.10","341.86","344.68","338.60","5.11M","0.44%"
"Sep 28, 2017","339.60","339.88","342.75","335.40","5.32M","-0.40%"
"Sep 27, 2017","340.97","349.90","351.49","340.50","6.06M","-1.24%"
"Sep 26, 2017","345.25","350.93","351.24","340.90","7.16M","0.08%"
"Sep 25, 2017","344.99","353.15","357.47","342.88","7.61M","-1.74%"
"Sep 22, 2017","351.09","366.49","369.90","350.88","8.16M","-4.20%"
"Sep 21, 2017","366.48","374.90","376.83","364.51","4.62M","-1.99%"
"Sep 20, 2017","373.91","373.00","378.25","371.07","4.92M","-0.32%"
"Sep 19, 2017","375.10","380.00","382.39","373.57","6.45M","-2.57%"
"Sep 18, 2017","385.00","380.25","389.61","377.68","7.19M","1.37%"
"Sep 15, 2017","379.81","374.51","380.00","372.70","5.42M","0.57%"
"Sep 14, 2017","377.64","364.33","377.96","362.63","7.20M","3.12%"
"Sep 13, 2017","366.23","363.82","368.07","359.59","4.19M","0.96%"
"Sep 12, 2017","362.75","364.49","368.76","360.40","5.97M","-0.26%"
"Sep 11, 2017","363.69","351.35","363.71","350.00","7.67M","5.91%"
"Sep 08, 2017","343.40","348.99","349.78","342.30","3.26M","-2.06%"
"Sep 07, 2017","350.61","345.98","352.48","343.45","4.24M","1.76%"
"Sep 06, 2017","344.53","349.50","350.98","341.56","4.09M","-1.45%"
"Sep 05, 2017","349.59","353.80","355.49","345.89","3.85M","-1.63%"
"Sep 01, 2017","355.40","356.12","357.59","353.69","3.05M","-0.14%"
"Aug 31, 2017","355.90","353.55","358.44","352.82","4.07M","0.77%"
"Aug 30, 2017","353.18","349.67","353.47","347.00","3.41M","1.68%"
"Aug 29, 2017","347.36","339.48","349.05","338.75","4.07M","0.49%"
"Aug 28, 2017","345.66","347.28","347.35","339.72","3.76M","-0.69%"
"Aug 25, 2017","348.05","354.24","355.69","347.30","3.48M","-1.38%"
"Aug 24, 2017","352.93","352.52","356.66","349.74","4.58M","0.05%"
"Aug 23, 2017","352.77","338.99","353.49","338.30","4.95M","3.35%"
"Aug 22, 2017","341.35","341.13","342.24","337.37","4.32M","1.03%"
"Aug 21, 2017","337.86","345.82","345.82","331.85","6.50M","-2.76%"
"Aug 18, 2017","347.46","352.91","354.00","345.80","5.41M","-1.27%"
"Aug 17, 2017","351.92","361.21","363.30","351.59","5.03M","-3.03%"
"Aug 16, 2017","362.91","363.00","366.50","362.52","3.41M","0.16%"
"Aug 15, 2017","362.33","365.20","365.49","359.37","3.09M","-0.40%"
"Aug 14, 2017","363.80","364.63","367.66","362.60","4.52M","1.66%"
"Aug 11, 2017","357.87","356.97","361.26","353.62","4.37M","0.69%"
"Aug 10, 2017","355.40","361.60","366.65","354.66","7.09M","-2.24%"
"Aug 09, 2017","363.53","361.00","370.00","358.95","6.89M","-0.46%"
"Aug 08, 2017","365.22","357.53","368.58","357.40","7.45M","2.83%"
"Aug 07, 2017","355.17","357.35","359.48","352.75","6.32M","-0.49%"
"Aug 04, 2017","356.91","347.00","357.27","343.30","9.27M","2.83%"
"Aug 03, 2017","347.09","345.33","350.00","343.15","13.54M","6.51%"
"Aug 02, 2017","325.89","318.94","327.12","311.22","13.09M","1.98%"
"Aug 01, 2017","319.57","323.00","324.45","316.13","8.30M","-1.21%"
"Jul 31, 2017","323.47","335.50","341.49","321.04","8.54M","-3.46%"
"Jul 28, 2017","335.07","336.89","339.60","332.51","4.88M","0.18%"
"Jul 27, 2017","334.46","346.00","347.50","326.29","8.30M","-2.73%"
"Jul 26, 2017","343.85","340.36","345.50","338.12","4.82M","1.25%"
"Jul 25, 2017","339.60","345.00","345.60","334.15","6.99M","-0.85%"
"Jul 24, 2017","342.52","330.24","343.40","330.01","8.64M","4.30%"
"Jul 21, 2017","328.40","329.46","331.26","325.80","4.90M","-0.46%"
"Jul 20, 2017","329.92","326.90","330.22","324.20","5.17M","1.43%"
"Jul 19, 2017","325.26","328.23","331.65","323.22","6.36M","-0.91%"
"Jul 18, 2017","328.24","317.50","329.13","315.66","6.37M","2.71%"
"Jul 17, 2017","319.57","325.54","327.10","313.45","9.88M","-2.50%"
"Jul 14, 2017","327.78","323.19","328.42","321.22","5.63M","1.35%"
"Jul 13, 2017","323.41","330.11","331.60","319.97","8.59M","-1.85%"
"Jul 12, 2017","329.52","330.40","333.10","324.50","10.35M","0.70%"
"Jul 11, 2017","327.22","316.00","327.28","314.30","11.56M","3.53%"
"Jul 10, 2017","316.05","312.90","317.94","303.13","13.82M","0.90%"
"Jul 07, 2017","313.22","313.50","317.00","307.38","14.18M","1.42%"
"Jul 06, 2017","308.83","317.26","320.79","306.30","19.32M","-5.58%"
"Jul 05, 2017","327.09","347.20","347.24","326.33","17.05M","-7.24%"
"Jul 03, 2017","352.62","370.24","371.35","351.50","6.31M","-2.49%"
"Jun 30, 2017","361.61","363.71","366.77","359.62","5.85M","0.24%"
"Jun 29, 2017","360.75","370.61","371.00","354.10","8.22M","-2.83%"
"Jun 28, 2017","371.24","366.68","371.74","362.52","6.30M","2.45%"
"Jun 27, 2017","362.37","376.40","376.40","362.02","7.00M","-4.01%"
"Jun 26, 2017","377.49","386.69","386.95","373.10","6.60M","-1.55%"
"Jun 23, 2017","383.45","382.45","386.99","379.35","6.45M","0.22%"
"Jun 22, 2017","382.61","377.99","385.00","373.57","7.53M","1.65%"
"Jun 21, 2017","376.40","374.35","376.99","368.02","4.92M","1.12%"
"Jun 20, 2017","372.24","376.67","378.88","369.73","7.44M","0.66%"
"Jun 19, 2017","369.80","375.00","376.70","367.80","6.55M","-0.43%"
"Jun 16, 2017","371.40","377.98","378.01","370.10","6.73M","-1.05%"
"Jun 15, 2017","375.34","372.50","375.46","366.49","10.43M","-1.40%"
"Jun 14, 2017","380.66","381.08","384.25","376.31","12.82M","1.25%"
"Jun 13, 2017","375.95","367.62","376.00","366.61","11.81M","4.72%"
"Jun 12, 2017","359.01","357.99","364.50","350.62","10.52M","0.47%"
"Jun 09, 2017","357.32","374.42","376.87","354.80","17.26M","-3.43%"
"Jun 08, 2017","370.00","363.75","371.90","360.22","9.06M","2.88%"
"Jun 07, 2017","359.65","356.34","360.50","355.14","9.40M","1.93%"
"Jun 06, 2017","352.85","344.70","359.49","339.97","11.09M","1.59%"
"Jun 05, 2017","347.32","338.50","348.44","334.21","6.78M","2.20%"
"Jun 02, 2017","339.85","339.77","342.88","335.93","5.59M","-0.15%"
"Jun 01, 2017","340.37","344.00","344.88","337.29","7.61M","-0.19%"
"May 31, 2017","341.01","337.69","342.89","335.16","9.96M","1.76%"
"May 30, 2017","335.10","326.00","336.28","325.76","7.78M","3.06%"
"May 26, 2017","325.14","317.28","325.49","316.31","7.80M","2.62%"
"May 25, 2017","316.83","311.02","316.97","307.81","5.01M","2.13%"
"May 24, 2017","310.22","306.51","311.00","305.40","5.04M","2.09%"
"May 23, 2017","303.86","310.46","310.73","303.48","4.32M","-2.09%"
"May 22, 2017","310.35","312.80","314.37","306.80","4.33M","-0.15%"
"May 19, 2017","310.83","315.50","316.50","310.20","4.69M","-0.71%"
"May 18, 2017","313.06","307.00","313.94","305.31","5.65M","2.27%"
"May 17, 2017","306.11","314.39","314.63","305.50","6.71M","-3.44%"
"May 16, 2017","317.01","317.59","320.06","315.14","4.15M","0.36%"
"May 15, 2017","315.88","318.38","320.20","312.53","7.62M","-2.75%"
"May 12, 2017","324.81","325.48","327.00","321.53","4.12M","0.53%"
"May 11, 2017","323.10","323.40","326.00","319.60","4.75M","-0.65%"
"May 10, 2017","325.22","321.56","325.50","318.12","5.74M","1.23%"
"May 09, 2017","321.26","309.38","321.99","309.10","9.68M","4.58%"
"May 08, 2017","307.19","310.90","313.79","305.82","7.01M","-0.38%"
"May 05, 2017","308.35","298.00","308.55","296.80","8.18M","4.36%"
"May 04, 2017","295.46","307.44","307.77","290.76","14.15M","-5.00%"
"May 03, 2017","311.02","317.67","321.53","310.45","7.13M","-2.47%"
"May 02, 2017","318.89","324.00","327.66","316.56","5.38M","-1.22%"
"May 01, 2017","322.83","314.88","327.25","314.81","8.83M","2.79%"
"Apr 28, 2017","314.07","309.83","314.80","308.00","4.51M","1.76%"
"Apr 27, 2017","308.63","311.69","313.09","307.50","3.47M","-0.50%"
"Apr 26, 2017","310.17","312.37","314.50","309.00","4.70M","-1.15%"
"Apr 25, 2017","313.79","308.00","313.98","305.86","6.74M","1.87%"
"Apr 24, 2017","308.03","309.22","310.55","306.02","5.08M","0.80%"
"Apr 21, 2017","305.60","302.00","306.40","300.42","4.51M","1.02%"
"Apr 20, 2017","302.51","306.51","309.15","300.23","6.15M","-0.99%"
"Apr 19, 2017","305.52","302.46","306.62","302.11","3.90M","1.76%"
"Apr 18, 2017","300.25","299.70","300.84","297.90","3.04M","-0.39%"
"Apr 17, 2017","301.44","302.70","304.00","298.68","4.14M","-0.84%"
"Apr 13, 2017","304.00","296.70","307.39","295.30","9.28M","2.41%"
"Apr 12, 2017","296.84","306.34","308.45","296.32","6.05M","-3.85%"
"Apr 11, 2017","308.71","313.38","313.47","305.50","5.72M","-1.18%"
"Apr 10, 2017","312.39","309.15","313.73","308.71","7.66M","3.26%"
"Apr 07, 2017","302.54","297.50","302.69","297.15","4.58M","1.29%"
"Apr 06, 2017","298.70","296.88","301.94","294.10","5.52M","1.25%"
"Apr 05, 2017","295.00","302.04","304.88","294.20","7.88M","-2.86%"
"Apr 04, 2017","303.70","296.89","304.81","294.53","10.13M","1.74%"
"Apr 03, 2017","298.52","286.90","299.00","284.58","13.89M","7.27%"
"Mar 31, 2017","278.30","278.73","279.68","276.32","3.29M","0.14%"
"Mar 30, 2017","277.92","278.04","282.00","277.21","4.15M","0.19%"
"Mar 29, 2017","277.38","278.34","279.60","275.54","3.68M","-0.03%"
"Mar 28, 2017","277.45","277.02","280.68","275.00","7.99M","2.68%"
"Mar 27, 2017","270.22","260.60","270.57","259.75","6.23M","2.68%"
"Mar 24, 2017","263.16","255.70","263.89","255.01","5.65M","3.29%"
"Mar 23, 2017","254.78","255.39","257.67","253.30","3.32M","-0.09%"
"Mar 22, 2017","255.01","251.56","255.07","250.51","4.06M","1.73%"
"Mar 21, 2017","250.68","262.83","264.80","250.24","6.91M","-4.29%"
"Mar 20, 2017","261.92","260.60","264.55","258.82","3.61M","0.16%"
"Mar 17, 2017","261.50","264.00","265.33","261.20","6.50M","-0.21%"
"Mar 16, 2017","262.05","262.40","265.75","259.06","7.13M","2.47%"
"Mar 15, 2017","255.73","257.00","261.00","254.27","5.33M","-0.88%"
"Mar 14, 2017","258.00","246.11","258.12","246.02","7.60M","4.81%"
"Mar 13, 2017","246.17","244.82","246.85","242.78","3.02M","1.02%"
"Mar 10, 2017","243.69","246.21","246.50","243.00","3.07M","-0.49%"
"Mar 09, 2017","244.90","247.63","248.66","243.00","3.88M","-0.80%"
"Mar 08, 2017","246.87","247.00","250.07","245.32","3.73M","-0.69%"
"Mar 07, 2017","248.59","251.92","253.89","248.32","3.46M","-1.04%"
"Mar 06, 2017","251.21","247.91","251.70","247.51","3.36M","-0.14%"
"Mar 03, 2017","251.57","250.74","251.90","249.00","2.93M","0.44%"
"Mar 02, 2017","250.48","249.71","253.28","248.27","3.35M","0.18%"
"Mar 01, 2017","250.02","254.18","254.85","249.11","4.81M","0.01%"
"Feb 28, 2017","249.99","244.19","251.00","243.90","6.08M","1.53%"
"Feb 27, 2017","246.23","248.17","248.36","242.01","11.46M","-4.19%"
"Feb 24, 2017","257.00","252.66","258.25","250.20","8.17M","0.39%"
"Feb 23, 2017","255.99","264.00","264.66","255.56","14.92M","-6.41%"
"Feb 22, 2017","273.51","280.31","283.45","272.60","8.75M","-1.40%"
"Feb 21, 2017","277.39","275.45","281.40","274.01","5.68M","1.90%"
"Feb 17, 2017","272.23","265.80","272.89","264.15","6.26M","1.22%"
"Feb 16, 2017","268.95","277.60","280.00","268.50","7.08M","-3.86%"
"Feb 15, 2017","279.76","280.00","282.24","276.44","4.95M","-0.43%"
"Feb 14, 2017","280.98","279.03","287.39","278.61","7.35M","0.14%"
"Feb 13, 2017","280.60","270.74","280.79","270.51","7.03M","4.22%"
"Feb 10, 2017","269.23","269.79","270.95","266.11","3.62M","0.01%"
"Feb 09, 2017","269.20","266.25","271.18","266.15","7.82M","2.72%"
